source,TimeStamp,faceId,interocularDistance,glasses,age,ethnicity,gender,dominantEmoji,pitch,yaw,roll,joy,fear,disgust,sadness,anger,surprise,contempt,valence,engagement,smile,innerBrowRaise,browRaise,browFurrow,noseWrinkle,upperLipRaise,lipCornerDepressor,chinRaise,lipPucker,lipPress,lipSuck,mouthOpen,smirk,eyeClosure,attention,eyeWiden,cheekRaise,lidTighten,dimpler,lipStretch,jawDrop,relaxed,smiley,laughing,kissing,disappointed,rage,smirk_1,wink,stuckOutTongueWinkingEye,stuckOutTongue,flushed,scream,X54
disgust.F,0.08,0,138.561,no,unknown,unknown,unknown,Unknown,17.7505,-1.0196,-7.5701,0.0016,0.0066,0.8352,0.0996,0.0015,0.2641,0.1983,0,0.2289,0,19.7111,0.2047,1.5374,7.535,2e-4,0.0103,7.3852,0.0164,0.0275,0.0453,0.0118,1e-4,0,98.5169,0.0017,0.0104,0.8567,0.0081,0.0029,0.1827,0.0017,9e-4,9e-4,0.0018,0.0018,0.0015,0,0.0018,2.2978,2.2978,0.0018,0.0282,NA
disgust.F,0.12,0,138.0098,no,unknown,unknown,unknown,Unknown,17.369,-1.0512,-7.9635,0.0016,0.006,1.0507,0.0685,0.0023,0.2373,0.1982,-1.6264,0.4616,0,14.1609,0.2653,1.5196,10.1623,2e-4,0.0156,14.6088,0.0214,0.026,0.14,0.007,1e-4,0,98.5076,0.0059,0.0264,1.4434,0.0079,0.003,0.1551,0.0017,9e-4,9e-4,0.0018,0.0018,0.0023,0,0.0018,2.2978,2.2978,0.0018,0.0282,NA
disgust.F,0.16,0,138.0569,no,unknown,unknown,unknown,Unknown,16.706,-0.7481,-7.2682,0.0017,0.0063,1.2503,0.0849,0.0018,0.2547,0.1978,-2.491,0.3991,0,17.5001,0.2212,1.4065,12.1285,2e-4,0.0102,10.5955,0.0201,0.0213,0.1847,0.006,1e-4,0,98.5942,0.0179,0.0292,1.6439,0.0088,0.0026,0.1361,0.0017,8e-4,8e-4,0.0018,0.0018,0.0018,0,0.0018,2.2978,2.2978,0.0018,0.0282,NA
disgust.F,0.2,0,137.5109,no,unknown,unknown,unknown,Unknown,17.0659,-1.3185,-7.6858,0.0017,0.0063,1.2542,0.0847,0.0018,0.2584,0.197,-2.9213,0.4386,1e-4,17.6831,0.1678,1.1886,12.1429,1e-4,0.0079,11.9079,0.0178,0.0219,0.1837,0.0055,1e-4,0,98.4269,0.015,0.0627,2.3799,0.0076,0.0025,0.1521,0.0017,8e-4,8e-4,0.0018,0.0018,0.0018,0,0.0018,2.2978,2.2978,0.0018,0.0282,NA
disgust.F,0.24,0,137.2396,no,unknown,unknown,unknown,Unknown,16.3175,-1.3673,-6.736,0.0017,0.0068,1.398,0.1164,0.0013,0.2826,0.1972,-3.5718,0.3379,1e-4,22.3962,0.1545,1.2443,13.3307,1e-4,0.0068,7.0543,0.019,0.0219,0.173,0.0059,2e-4,0,98.4118,0.0197,0.0559,2.8328,0.0066,0.0022,0.1223,0.0017,7e-4,7e-4,0.0018,0.0018,0.0013,0,0.0018,2.2978,2.2978,0.0018,0.0281,NA
disgust.F,0.28,0,137.3381,no,unknown,unknown,unknown,Unknown,16.762,-1.0977,-7.0207,0.0016,0.0076,1.3973,0.1729,0.0012,0.3039,0.1993,-6.1255,0.3794,1e-4,27.7007,0.1688,1.813,13.2852,1e-4,0.0087,8.727,0.0281,0.0225,0.1462,0.0061,1e-4,0,98.4939,0.0218,0.0751,3.1667,0.0057,0.0029,0.1344,0.0017,7e-4,7e-4,0.0018,0.0018,0.0012,0,0.0018,2.2978,2.2978,0.0018,0.0281,NA
disgust.F,0.32,0,137.1329,no,unknown,unknown,unknown,Unknown,16.5481,-0.788,-6.9921,0.0016,0.0084,1.595,0.2572,0.001,0.3319,0.2008,-8.643,0.3932,1e-4,33.231,0.1894,2.1951,14.7354,1e-4,0.0076,7.7807,0.0296,0.0155,0.0979,0.0062,1e-4,0,98.5831,0.0214,0.0809,3.6799,0.0049,0.003,0.124,0.0017,7e-4,7e-4,0.0018,0.0018,0.001,0,0.0018,2.2978,2.2978,0.0018,0.0281,NA
disgust.F,0.36,0,137.0525,no,unknown,unknown,unknown,Unknown,16.9961,-1.1635,-7.0145,0.0016,0.009,1.6541,0.3289,9e-4,0.3606,0.2003,-10.0282,0.3955,1e-4,37.0602,0.1893,2.0861,15.1186,1e-4,0.0072,7.479,0.0374,0.0158,0.1015,0.0059,2e-4,0,98.4742,0.0247,0.1061,3.6501,0.0046,0.0028,0.1339,0.0017,7e-4,7e-4,0.0018,0.0018,9e-4,0,0.0018,2.2978,2.2978,0.0018,0.0281,NA
disgust.F,0.4,0,136.7367,no,unknown,unknown,unknown,Unknown,16.7535,-1.5745,-6.5854,0.0016,0.0093,1.777,0.3837,8e-4,0.3745,0.2007,-10.9273,0.3912,1e-4,39.2652,0.174,2.1799,15.8806,1e-4,0.007,6.5625,0.0352,0.0129,0.0935,0.0056,2e-4,0,98.3457,0.0281,0.1267,3.9866,0.0039,0.0025,0.1409,0.0017,7e-4,7e-4,0.0018,0.0018,8e-4,0,0.0018,2.2978,2.2978,0.0018,0.0281,NA
disgust.F,0.44,0,136.7104,no,unknown,unknown,unknown,Unknown,17.707,-0.9567,-7.6782,0.0016,0.0094,1.8167,0.4008,7e-4,0.3885,0.1996,-11.1458,0.3862,2e-4,40.2417,0.1745,1.8908,16.14,1e-4,0.0063,6.1232,0.0352,0.014,0.0894,0.0061,2e-4,0,98.5351,0.0201,0.1572,3.8084,0.004,0.0022,0.1346,0.0017,6e-4,6e-4,0.0018,0.0018,7e-4,0,0.0018,2.2978,2.2978,0.0018,0.0281,NA
disgust.F,0.48,0,137.6051,no,unknown,unknown,unknown,Unknown,16.2989,-1.7014,-6.4755,0.0016,0.0097,1.9103,0.4637,7e-4,0.4031,0.1999,-12.0301,0.3875,2e-4,42.3481,0.1676,1.9643,16.6926,1e-4,0.0054,5.6153,0.0332,0.0105,0.0738,0.0062,2e-4,0,98.3039,0.0187,0.1584,3.7359,0.0038,0.0021,0.1261,0.0017,6e-4,6e-4,0.0018,0.0018,7e-4,0,0.0018,2.2978,2.2978,0.0018,0.0281,NA
disgust.F,0.52,0,137.5064,no,unknown,unknown,unknown,Unknown,17.7547,-1.3377,-7.3806,0.0016,0.0095,2.1659,0.4119,7e-4,0.3882,0.2,-12.2306,0.4284,2e-4,40.5335,0.1714,1.9931,18.1163,1e-4,0.0056,5.6045,0.0329,0.0111,0.0721,0.0065,3e-4,0,98.421,0.0156,0.153,3.6205,0.0039,0.002,0.1261,0.0017,6e-4,6e-4,0.0018,0.0018,7e-4,0,0.0018,2.2978,2.2978,0.0018,0.0281,NA
disgust.F,0.56,0,137.1508,no,unknown,unknown,unknown,Unknown,16.8612,-1.2898,-6.5054,0.0016,0.0093,2.2764,0.3725,8e-4,0.3673,0.2011,-12.0095,0.445,2e-4,38.6765,0.1709,2.2957,18.6705,1e-4,0.0059,5.5841,0.03,0.014,0.0735,0.0068,3e-4,0,98.4358,0.0137,0.1502,3.5039,0.0038,0.0019,0.1213,0.0017,6e-4,6e-4,0.0018,0.0018,8e-4,0,0.0018,2.2978,2.2978,0.0018,0.0281,NA
disgust.F,0.6,0,137.2099,no,unknown,unknown,unknown,Unknown,16.3634,-1.1893,-6.4687,0.0015,0.0098,2.5822,0.4645,8e-4,0.3787,0.2027,-14.022,0.5019,2e-4,41.5173,0.1544,2.721,20.1195,1e-4,0.0056,5.8262,0.0299,0.0133,0.072,0.0064,3e-4,0,98.4665,0.0131,0.2031,4.1467,0.0034,0.002,0.1297,0.0017,6e-4,6e-4,0.0018,0.0018,8e-4,0,0.0018,2.2978,2.2978,0.0018,0.0281,NA
disgust.F,0.64,0,137.6378,no,unknown,unknown,unknown,Unknown,16.2181,-1.9729,-6.661,0.0015,0.0111,2.4824,0.7265,6e-4,0.4187,0.2043,-15.6607,0.4473,2e-4,47.7991,0.1407,3.1275,19.6492,1e-4,0.0055,4.6789,0.0292,0.0129,0.0586,0.0064,3e-4,0,98.2109,0.0132,0.1882,4.5296,0.0025,0.0018,0.1365,0.0017,6e-4,6e-4,0.0018,0.0018,6e-4,0,0.0018,2.2978,2.2978,0.0018,0.0281,NA
disgust.F,0.68,0,137.9262,no,unknown,unknown,unknown,Unknown,16.8519,-2.2792,-6.7471,0.0015,0.0115,2.6284,0.8341,6e-4,0.4355,0.2044,-16.7098,0.4658,2e-4,49.8593,0.128,3.1453,20.2959,1e-4,0.0055,4.6019,0.03,0.0158,0.0513,0.0064,3e-4,0,98.1001,0.0098,0.2067,4.2546,0.0022,0.0018,0.1415,0.0017,5e-4,5e-4,0.0018,0.0018,6e-4,0,0.0018,2.2978,2.2978,0.0018,0.0281,NA
disgust.F,0.72,0,136.9241,no,unknown,unknown,unknown,Unknown,17.3288,-1.8009,-6.6767,0.0015,0.012,2.2311,0.9734,5e-4,0.4508,0.2049,-16.2947,0.3952,2e-4,52.0251,0.1374,3.2999,18.4514,1e-4,0.0052,4.1347,0.0295,0.0209,0.0442,0.0065,3e-4,0,98.2704,0.0074,0.194,3.9757,0.0019,0.0017,0.1495,0.0017,5e-4,5e-4,0.0018,0.0018,5e-4,0,0.0018,2.2978,2.2978,0.0018,0.0281,NA
